"",,,2.0,2.6,3.0,3.5,4.0,5.0,6.0,7.0,8.0
h s s s,,,0.26846,0.15526,0.10665,0.06619,0.04085,0.01539,0.00575,0.00214,0.00079
h s S s,,,0.01362,0.00762,0.00515,0.00315,0.00192,0.00071,0.00026,0.00010,0.00004
h s S S,,,0.07699,0.04611,0.03222,0.02033,0.01271,0.00487,0.00184,0.00069,0.00026
h s P s,,,0.00283,0.00174,0.00122,0.00077,0.00048,0.00018,0.00007,0.00003,0.00001
h s P S,,,-0.00526,-0.00360,-0.00266,-0.00177,-0.00114,-0.00046,-0.00018,-0.00007,-0.00003
h s P P,,,0.06522,0.03923,0.02747,0.01737,0.01087,0.00418,0.00158,0.00059,0.00022
h s h s,,,0.05453,0.01876,0.00897,0.00350,0.00135,0.00019,0.00003,0.00000,0.00000
h S s s,,,-0.19471,-0.17113,-0.15187,-0.12717,-0.10387,-0.06564,-0.03942,-0.02286,-0.01292
h S S s,,,0.00019,0.00002,-0.00001,-0.00003,-0.00002,-0.00001,-0.00001,0.00000,0.00000
h S S S,,,-0.13961,-0.12728,-0.11625,-0.10088,-0.08520,-0.05693,-0.03564,-0.02129,-0.01229
h S P s,,,-0.00416,-0.00387,-0.00347,-0.00288,-0.00230,-0.00136,-0.00075,-0.00040,-0.00021
h S P S,,,0.02675,0.02901,0.02874,0.02690,0.02398,0.01704,0.01088,0.00645,0.00362
h S P P,,,-0.12770,-0.11941,-0.11093,-0.09827,-0.08462,-0.05845,-0.03753,-0.02281,-0.01331
h S h s,,,-0.05384,-0.02889,-0.01810,-0.00965,-0.00496,-0.00121,-0.00027,-0.00006,-0.00001
h S h S,,,0.10869,0.09722,0.08523,0.06846,0.05229,0.02706,0.01244,0.00524,0.00207
h P s s,,,0.16985,0.16657,0.15765,0.14237,0.12507,0.09107,0.06289,0.04190,0.02725
h P S s,,,0.00102,0.00065,0.00046,0.00030,0.00019,0.00007,0.00003,0.00001,0.00000
h P S S,,,0.11551,0.12243,0.12120,0.11490,0.10514,0.08137,0.05851,0.04003,0.02648
h P P s,,,0.00625,0.00543,0.00479,0.00398,0.00323,0.00203,0.00122,0.00072,0.00041
h P p S,,,-0.03694,-0.03905,-0.03902,-0.03747,-0.03463,-0.02688,-0.01897,-0.01250,-0.00786
h P P P,,,0.11079,0.12004,0.12061,0.11643,0.10837,0.08629,0.06333,0.04387,0.02918
h phs,,,0.04882,0.02906,0.01934,0.01107,0.00609,0.00169,0.00044,0.00011,0.00003
hphS,,,-0.10273,-0.10452,-0.09835,-0.08565,-0.07061,-0.04228,-0.02241,-0.01088,-0.00494
h P h P,,,0.10411,0.11657,0.11660,0.10938,0.09700,0.06706,0.04100,0.02293,0.01202
hhss,,,0.46641,0.37517,0.32923,0.28417,0.24920,0.19983,0.16717,0.14280,0.12479
h h S s,,,0.00469,0.00177,0.00089,0.00037,0.00015,0.00002,0.00000,0.00000,0.00000
h h S S,,,0.27832,0.26305,0.25123,0.23536,0.21939,0.18878,0.16317,0.14143,0.12434
h h P s,,,0.01453,0.01158,0.00970,0.00770,0.00614,0.00406,0.00285,0.00209,0.00160
h h P S,,,-0.07217,-0.08058,-0.08252,-0.08165,-0.07827,-0.06721,-0.05518,-0.04420,-0.03541
h h P P,,,0.26186,0.25868,0.25398,0.24547,0.23510,0.20993,0.18464,0.16052,0.14020
h h h s,,,0.13009,0.06552,0.04084,0.02244,0.01229,0.00372,0.00115,0.00036,0.00012
h h h S,,,-0.24751,-0.23450,-0.21847,-0.19383,-0.16769,-0.11762,-0.07821,-0.04957,-0.03056
h h h P,,,0.24833,0.26349,0.26249,0.25224,0.23587,0.19249,0.14839,0.10906,0.07807
